Depth,Block Position,ROP,WOB,Hook Load,RPM,Torque,SPP,SPM,PVT,Flow Out,Time,,,
2037.8,5.82,27.17000008,2.599999905,83.40000153,79,5078,15448,113,304.66,2138,10:07:20 AM,,275,4803
2038,5.69,27.17000008,2.599999905,83.40000153,79,5012,14952,113,304.6,2127,10:07:30 AM,,163,4849
2038.2,5.57,37.63999939,3.400000095,82.59999847,79,5091,14704,113,304.54,2134,10:07:40 AM,,261,4830
2038.4,5.49,37.63999939,3.400000095,82.59999847,79,5108,14704,113,304.48,2130,10:07:50 AM,,186,4922
2038.6,5.34,37.63999939,3.400000095,82.59999847,79,5070,14704,113,304.42,2137,10:08:00 AM,,183,4887
2038.8,5.22,39.27999878,4.800000191,81.19999695,79,5041,14704,113,304.36,2129,10:08:10 AM,,293,4748
2039,5.1,39.27999878,4.800000191,81.19999695,79,4972,15200,113,304.3,2131,10:08:20 AM,,217,4755
2039.2,4.98,39.27999878,4.800000191,81.19999695,79,5007,15448,113,304.24,2134,10:08:30 AM,,202,4805
2039.4,4.86,37.18999863,3.2,85.90000153,80,4944,15448,113,304.18,2134,10:08:40 AM,,216,4728
2039.6,4.74,27.17000008,2.599999905,83.40000153,79,5006,15448,113,304.12,2132,10:08:50 AM,,171,4835
2039.8,4.62,37.63999939,3.400000095,82.59999847,79,5039,15200,113,304.06,2133,10:09:00 AM,,195,4844
2040,4.5,37.63999939,3.400000095,82.59999847,79,4995,14952,113,304,2138,10:09:10 AM,,184,4811
2040.2,4.38,37.63999939,3.400000095,82.59999847,79,5002,15448,113,303.94,2144,10:09:20 AM,,239,4763
2040.4,4.26,39.27999878,4.800000191,81.19999695,79,4993,15200,113,303.88,2143,10:09:30 AM,,232,4761
2040.6,4.14,39.27999878,4.800000191,81.19999695,79,4920,15448,113,303.82,2130,10:09:40 AM,,166,4754
2040.8,4.02,39.27999878,4.800000191,81.19999695,79,4891,15944,113,303.76,2142,10:09:50 AM,,171,4720
2041,3.9,37.18999863,3.2,85.90000153,80,5012,14952,113,303.7,2133,10:10:00 AM,,239,4773
2041.2,3.78,39.22999954,2.299999952,83.69999695,80,4983,15448,113,303.64,2139,10:10:10 AM,,246,4737
2041.4,3.66,39.22999954,2.299999952,83.69999695,80,5075,15448,113,303.58,2139,10:10:20 AM,,254,4821
2041.6,3.54,39.22999954,2.299999952,83.69999695,80,4991,15200,113,303.52,2127,10:10:30 AM,,156,4835
2041.8,3.42,41.40999985,5.199999809,80.80000305,79,4978,15448,113,303.46,2139,10:10:40 AM,,175,4803
2042,3.3,41.40999985,5.199999809,80.80000305,79,5067,15200,113,303.4,2131,10:10:50 AM,,169,4898
2042.2,3.18,41.40999985,5.199999809,80.80000305,79,4962,14704,113,303.34,2134,10:11:00 AM,,300,4662
2042.4,3.06,42.72999954,4.699999809,81.30000305,79,4958,14200,113,303.28,2129,10:11:10 AM,,194,4764
2042.6,2.94,42.72999954,4.699999809,81.30000305,79,4985,13704,113,303.22,2134,10:11:20 AM,,205,4780
2042.8,2.82,42.72999954,4.699999809,81.30000305,79,4953,14200,113,303.16,2137,10:11:30 AM,,215,4738
2043,2.7,42.77999878,2.599999905,83.40000153,79,4960,14704,113,303.1,2123,10:11:40 AM,,281,4679
2043.2,2.58,42.77999878,2.599999905,83.40000153,79,5096,15448,113,303.04,2135,10:11:50 AM,,172,4924
