Depth,Block Position,ROP,WOB,Hook Load,RPM,Torque,SPP,SPM,PVT,Flow Out,Time,Phase,Kick_Status,Note,Note_Param,Zone_Line
2035,8.52000008,37.18999863,,,80,,14123,,306.16,2153,10:05:00 AM,NORMAL,NO KICK,,,
2035.2,8.453333413,39.22999954,,,80,,14952,,306.04,2153,10:05:10 AM,NORMAL,NO KICK,,,
2035.4,8.386666747,39.22999954,,,80,,15200,,305.92,2160,10:05:20 AM,NORMAL,NO KICK,,,
2035.6,8.286666747,39.22999954,,,80,,14952,,305.87,2160,10:05:30 AM,NORMAL,NO KICK,,,
2035.8,8.186666747,41.40999985,,,79,,14704,,305.79,2160,10:05:40 AM,NORMAL,NO KICK,,,
2036,8.086666747,42.006,,,79,,15210.5,,305.76,2162.4,10:05:50 AM,NORMAL,NO KICK,,,
2036.2,8.02000008,42.709,,,79,,15706.7,,305.73,2157.2,10:06:00 AM,NORMAL,NO KICK,Drilling Break,Block Position,1
2036.4,7.03,41.417,,,79,,14468.3,,305.86,2162.4,10:06:10 AM,WARNING,KICK INDICATORS,,,
2036.6,6.66,43.594,,,79,,15164.2,,305.99,2168.7,10:06:20 AM,WARNING,KICK INDICATORS,,,
2036.8,6.505714366,43.523,,,79,,15159.5,,306.6,2177,10:06:30 AM,WARNING,KICK INDICATORS,,,
2037,6.334285794,43.207,,,79,,14139.8,,306.98,2181.3,10:06:40 AM,WARNING,KICK INDICATORS,,,
2037.2,6.277142937,44.911,,,79,,14159.1,,311.0033333,2185.6,10:06:50 AM,WARNING,KICK INDICATORS,Drop in SPP,SPP,
2037.4,6.162857223,43.313,,,79,,13852.6,,315.0266667,2188.9,10:07:00 AM,WARNING,KICK INDICATORS,Increase in Flow Out/Return,Flow Out,
2037.6,5.991428651,29.19,,,79,,13643.4,,319.05,2192.2,10:07:10 AM,WARNING,KICK INDICATORS,Increase in Mud Pit Level,PVT,
2037.8,5.877142937,29.14,,,79,,12510.4,,321,2196.5,10:07:20 AM,KICK,KICK DEVELOPING,,,
2038,5.619078421,31.387,,,79,,12167.2,,322.93,2202.8,10:07:30 AM,KICK,KICK DEVELOPING,,,
2038.2,5.361013905,41.443,,,79,,11775,,324.93,2212.1,10:07:40 AM,KICK,KICK DEVELOPING,,,
2038.4,5.102949389,41.21,,,79,,11804.6,,326.29,2222.4,10:07:50 AM,KICK,KICK DEVELOPING,,,
2038.6,4.844884873,43.751,,,79,,11836.3,,331.44,2231.7,10:08:00 AM,KICK,KICK DEVELOPING,,,
2038.8,4.758863367,45.208,,,79,,11775.6,,336.24,2242,10:08:10 AM,KICK,KICK DEVELOPING,,,
2039,4.672841862,46.659,,,79,,12249.3,,341.03,2251.3,10:08:20 AM,KICK,KICK DEVELOPING,,,
2039.2,4.586820356,47.22,,,79,,12485.2,,346.57,2261.6,10:08:30 AM,KICK,KICK DEVELOPING,,,
2039.4,4.414777346,46.933,,,80,,12532.5,,352.51,2268.9,10:08:40 AM,KICK,KICK DEVELOPING,,,
2039.6,4.15671283,35.795,,,79,,12517.6,,357.55,2279.2,10:08:50 AM,KICK,KICK DEVELOPING,,,
2039.8,3.898648313,48.995,,,79,,11192.7,,363.09,2287.5,10:09:00 AM,ALARM,KICK ALARM,,,
2040,3.642238057,49.672,,,79,,10896.9,,368.31,2301.8,10:09:10 AM,ALARM,KICK ALARM,,,
2040.2,3.257622672,48.788,,,79,,11367.4,,372.97,2316.1,10:09:20 AM,ALARM,KICK ALARM,,,
2040.4,3.129417544,53.337,,,79,,11166.9,,378.74,2328.4,10:09:30 AM,ALARM,KICK ALARM,,,
2040.6,2.873007288,54.903,,,79,,11321.1,,384.05,2338.7,10:09:40 AM,ALARM,KICK ALARM,,,
2040.8,2.616597031,54.637,,,79,,11817.6,,389.1,2354,10:09:50 AM,ALARM,KICK ALARM,,,
2041,2.488391903,54.807,,,80,,10678.1,,394.45,2367.3,10:10:00 AM,ALARM,KICK ALARM,,,
2041.2,2.103776519,55.542,,,80,,11253.5,,399.41,2378.6,10:10:10 AM,ALARM,KICK ALARM,,,
2041.4,1.97557139,55.982,,,80,,11309.3,,404.75,2388.9,10:10:20 AM,ALARM,KICK ALARM,,,
2041.6,1.847366262,57.713,,,80,,10967.5,,410.14,2403.2,10:10:30 AM,ALARM,KICK ALARM,,,
2041.8,1.719161134,63.191,,,79,,11186.9,,415.37,2414.5,10:10:40 AM,ALARM,KICK ALARM,,,
2042,1.462750878,63.584,,,79,,10954.5,,420.7,2426.8,10:10:50 AM,ALARM,KICK ALARM,,,
2042.2,1.334545749,63.588,,,79,,10506.8,,425.91,2438.1,10:11:00 AM,ALARM,KICK ALARM,,,
2042.4,1.078135493,65.599,,,79,,9929.3,,431.15,2450.4,10:11:10 AM,ALARM,KICK ALARM,,,
2042.6,0.949930365,67.398,,,79,,9351,,435.31,2465.7,10:11:20 AM,ALARM,KICK ALARM,,,
2042.8,0.821725237,67.317,,,79,,9831.1,,441.71,2480,10:11:30 AM,ALARM,KICK ALARM,,,
2043,0.693520108,68.733,,,79,,10318,,446.1,2495.3,10:11:40 AM,ALARM,KICK ALARM,,,
2043.2,0.383520108,72.654,,,79,,11001.6,,451.56,2506.6,10:11:50 AM,,,,,
