Depth,Block Position,ROP,WOB,Hook Load,RPM,Torque,SPP,SPM,PVT,Flow Out,Time,Phase,Kick_Status,Note,Note_Param,Zone_Line,,,,
2034,6.847366262,37.63999939,,,,,14689,,556.76,2525,10:04:10 AM,NORMAL,NO KICK,,,,,,1.847366262,6.847366262
2034.2,6.719161134,37.63999939,,,,,14689,,556.64,2525,10:04:20 AM,NORMAL,NO KICK,,,,,,1.719161134,6.719161134
2034.4,6.462750878,39.27999878,,,,,15047,,556.52,2525,10:04:30 AM,NORMAL,NO KICK,,,,,,1.462750878,6.462750878
2034.6,6.334545749,39.27999878,,,,,15047,,556.4,2525,10:04:40 AM,NORMAL,NO KICK,,,,,,1.334545749,6.334545749
2034.8,6.078135493,39.27999878,,,,,15047,,556.28,2525,10:04:50 AM,NORMAL,NO KICK,,,,,,1.078135493,6.078135493
2035,5.949930365,37.18999863,,,,,14123,,556.16,2525,10:05:00 AM,NORMAL,NO KICK,,,,,,0.949930365,5.949930365
2035.2,5.821725237,39.22999954,,,,,14952,,556.04,2525,10:05:10 AM,NORMAL,NO KICK,,,,,,0.821725237,5.821725237
2035.4,5.693520108,39.22999954,,,,,15200,,555.92,2525,10:05:20 AM,NORMAL,NO KICK,,,,,,0.693520108,5.693520108
2035.6,5.625140101,39.22999954,,,,,14952,,555.8,2525,10:05:30 AM,NORMAL,NO KICK,,,,,,0.383520108,5.383520108
2035.8,5.556760094,41.40999985,,,,,14704,,555.68,2521.6,10:05:40 AM,NORMAL,NO KICK,,,,,,,5.401760094
2036,5.488380087,42.006,,,,,15210.5,,555.56,2516.6,10:05:50 AM,NORMAL,NO KICK,,,,,,10.42000008,5.42000008
2036.2,5.42000008,42.709,,,,,15706.7,,555.44,2511.3,10:06:00 AM,NORMAL,NO KICK,,,PARTIAL LOSSES,,,10.38666675,5.38666675
2036.4,5.23,41.417,,,,,14668.3,,550.32,2506.6,10:06:10 AM,WARNING,PARTIAL,,,,,,10.32000008,5.32000008
2036.6,5.18,43.594,,,,,15564.2,,545.2,2495.3,10:06:20 AM,WARNING,PARTIAL,Decrease in Flow Out,Flow Out,,,,10.25333341,5.25333341
2036.8,5.15333341,43.523,,,,,14896.5,,540.08,2480,10:06:30 AM,WARNING,PARTIAL,,,,,,10.15333341,5.15333341
2037,5.08666675,43.207,,,,,14076.8,,534.96,2465.7,10:06:40 AM,WARNING,PARTIAL,PVT Decrease,PVT,,,,10.08666675,5.08666675
2037.2,5.02000008,44.911,,,,,14296.1,,529.84,2450.4,10:06:50 AM,WARNING,PARTIAL,,,,,,10.02000008,5.02000008
2037.4,4.92000008,43.313,,,,,14189.6,,524.72,2438.1,10:07:00 AM,WARNING,PARTIAL,,,,,,9.92000008,4.92000008
2037.6,4.853333413,29.19,,,,,14180.4,,519.6,2426.8,10:07:10 AM,WARNING,PARTIAL,,,,,,9.853333413,4.853333413
2037.8,4.753333413,29.14,,,,,14296.1,,514.48,2414.5,10:07:20 AM,WARNING,PARTIAL,Decrease in SPP,SPP,,,,9.753333413,4.753333413
2038,4.653333413,31.387,,,,,14076.8,,509.36,2403.2,10:07:30 AM,WARNING,PARTIAL,,,,,,9.653333413,4.653333413
2038.2,4.62000008,41.443,,,,,13736.2,,504.24,2388.9,10:07:40 AM,WARNING,PARTIAL,,,SEVERE LOSSES,,,9.62000008,4.62000008
2038.4,4.586666747,41.21,,,,,13247.4,,476.36,2328.6,10:07:50 AM,KICK,SEVERE,,,,,,9.586666747,4.586666747
2038.6,4.553333413,43.751,,,,,10605.3,,448.48,2267.3,10:08:00 AM,KICK,SEVERE,,,,,,9.553333413,4.553333413
2038.8,4.52000008,45.208,,,,,10544.6,,420.6,2204,10:08:10 AM,KICK,SEVERE,,,,,,9.52000008,4.52000008
2039,4.42000008,46.659,,,,,11018.3,,392.72,2138.7,10:08:20 AM,KICK,SEVERE,,,,,,9.42000008,4.42000008
2039.2,4.353333413,47.22,,,,,11254.2,,364.84,2078.4,10:08:30 AM,KICK,SEVERE,,,,,,9.353333413,4.353333413
2039.4,4.32000008,46.933,,,,,11301.5,,336.96,2016.1,10:08:40 AM,KICK,SEVERE,,,,,,9.32000008,4.32000008
2039.6,4.286666747,35.795,,,,,11286.6,,309.08,1951.8,10:08:50 AM,KICK,SEVERE,,,,,,9.286666747,4.286666747
2039.8,4.253333413,48.995,,,,,9961.7,,281.2,1887.5,10:09:00 AM,KICK,SEVERE,,,,,,9.253333413,4.253333413
2040,4.153333413,49.672,,,,,9665.9,,253.32,1629.2,10:09:10 AM,KICK,SEVERE,,,,,,9.153333413,4.153333413
2040.2,4.053333413,48.788,,,,,10136.4,,225.44,1368.9,10:09:20 AM,KICK,SEVERE,,,,,,9.053333413,4.053333413
2040.4,4.02000008,53.337,,,,,9935.9,,182.56,911.6,10:09:30 AM,KICK,SEVERE,,,,,,9.02000008,4.02000008
2040.6,3.953333413,54.903,,,,,8459.1,,123.63,123.2,10:09:40 AM,ALARM,TOTAL,,,,,,8.953333413,3.953333413
2040.8,3.853333413,54.637,,,,,8955.6,,64.7,1,10:09:50 AM,ALARM,TOTAL,,,TOTAL LOSSES,,,8.853333413,3.853333413
2041,3.82000008,54.807,,,,,7816.1,,5.77,1,10:10:00 AM,ALARM,TOTAL,,,,,,8.82000008,3.82000008
2041.2,3.753333413,55.542,,,,,8391.5,,5.77,1,10:10:10 AM,ALARM,TOTAL,Adding To System,PVT,,,,8.753333413,3.753333413
2041.4,3.686666747,55.982,,,,,8447.3,,64.7,1,10:10:20 AM,ALARM,TOTAL,,,,,,8.686666747,3.686666747
2041.6,3.62000008,57.713,,,,,8105.5,,123.63,1,10:10:30 AM,ALARM,TOTAL,,,,,,8.62000008,3.62000008
2041.8,3.553333413,63.191,,,,,8324.9,,182.56,1,10:10:40 AM,ALARM,TOTAL,,,,,,8.553333413,3.553333413
2042,3.52000008,63.584,,,,,8092.5,,225.44,1,10:10:50 AM,ALARM,TOTAL,,,,,,8.52000008,3.52000008
2042.2,3.453333413,63.588,,,,,7644.8,,253.32,1,10:11:00 AM,ALARM,TOTAL,,,,,,8.453333413,3.453333413
2042.4,3.386666747,65.599,,,,,7067.3,,253.32,1,10:11:10 AM,ALARM,TOTAL,,,,,,8.386666747,3.386666747
2042.6,3.286666747,67.398,,,,,6489,,225.44,1,10:11:20 AM,ALARM,TOTAL,System Still Decrease / No Return,PVT,,,,8.286666747,3.286666747
2042.8,3.186666747,67.317,,,,,6969.1,,182.56,1,10:11:30 AM,ALARM,TOTAL,,,,,,8.186666747,3.186666747
2043,3.086666747,68.733,,,,,7456,,123.63,1,10:11:40 AM,ALARM,TOTAL,,,,,,8.086666747,3.086666747
2043.2,3.02000008,72.654,,,,,8139.6,,64.7,1,10:11:50 AM,,,,,,,,8.02000008,3.02000008
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,253.32,,,,,,
,,,,,,,,,,,,,,225.44,,,,,,
,,,,,,,,,,,,,,182.56,,,,,,
,,,,,,,,,,,,,,123.63,,,,,,
,,,,,,,,,,,,,,64.7,,,,,,
,,,,,,,,,,,,,,5.77,,,,,,
